Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16702.6248,NA,7.96450000000000,6.94910000000000,0.41700000000000,2.20340000000000,13.8703,16695.5438,7.4980,7.0810,0.4170,5.9197,3.3647,3.1985,0.1662,-0.5154,16695.5438,NA,19.0758,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16711.2906,NA,8.66580000000000,6.94470000000000,0.39700000000000,3.13330000000000,12.1492,16703.0418,8.6458,8.2488,0.3970,8.0425,3.3396,3.1696,0.1700,0.5533,16703.0418,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16721.6990,NA,10.40840000000000,13.93420000000000,0.40430000000000,3.30030000000000,15.6750,16711.6876,10.4157,10.0114,0.4043,9.8519,3.4598,3.2833,0.1765,-5.2884,16711.6876,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16727.9448,NA,6.24580000000000,6.95320000000000,0.39730000000000,3.28570000000000,16.3824,16722.1033,6.2388,5.8415,0.3973,5.7100,3.4172,3.2569,0.1603,3.4625,16722.1033,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16733.7373,NA,5.79250000000000,6.95450000000000,0.39760000000000,3.06260000000000,17.5444,16728.3421,5.7928,5.3952,0.3976,5.0101,3.4477,3.2618,0.1859,-0.7157,16728.3421,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16739.0523,NA,5.31500000000000,6.90220000000000,0.47450000000000,3.23390000000000,19.1316,16734.1349,5.3919,4.9174,0.4745,4.8215,3.3298,2.9632,0.3666,-1.1094,16734.1349,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16746.1520,NA,7.09970000000000,NA,0.60050000000000,3.26560000000000,NA,16739.5268,7.2257,6.6252,0.6005,6.3771,3.5137,3.2087,0.3050,NA,NA,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16753.1328,NA,6.98080000000000,6.94680000000000,0.41710000000000,3.66180000000000,11.9979,16746.7525,6.7974,6.3803,0.4171,6.3513,3.6908,3.4693,0.2215,5.6708,16746.7525,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16759.3874,NA,6.25460000000000,6.95330000000000,0.38590000000000,3.64910000000000,12.6966,16753.5499,6.2234,5.8375,0.3859,5.6674,3.8192,3.5500,0.2692,-0.1559,16753.5499,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16768.0860,NA,8.69860000000000,6.94760000000000,0.43130000000000,3.24410000000000,10.9456,16759.7733,8.7440,8.3127,0.4313,7.7902,3.7666,3.5867,0.1799,-0.7242,16759.7733,NA,NA,NA
